
----------
Loaded log file: "server_log.txt".
----------

SA-MP Dedicated Server
----------------------
v0.3.DL-R1, (C)2005-2018 SA-MP Team

[00:35:08] 
[00:35:08] Server Plugins
[00:35:08] --------------
[00:35:08]  Loading plugin: sscanf
[00:35:08] 

[00:35:08]  ===============================

[00:35:08]       sscanf plugin loaded.     

[00:35:08]          Version:  2.8.2        

[00:35:08]    (c) 2012 Alex "Y_Less" Cole  

[00:35:08]  ===============================

[00:35:08]   Loaded.
[00:35:08]  Loading plugin: streamer
[00:35:08] 

*** Streamer Plugin v2.9.4 by Incognito loaded ***

[00:35:08]   Loaded.
[00:35:08]  Loaded 2 plugins.

[00:35:08] [artwork:crc] trash_big02.dff CRC = 0x5FCA908F
[00:35:09] [artwork:crc] dev.txd CRC = 0x670C4B24
[00:35:09] [artwork:crc] ig_backstage02.dff CRC = 0x90CB55EA
[00:35:09] [artwork:crc] ig_backstage02.txd CRC = 0x17E3817B
[00:35:09] [artwork:crc] ig_nabank.dff CRC = 0xDF59ACB7
[00:35:09] [artwork:crc] nabank.txd CRC = 0xC2B36C16
[00:35:09] [artwork:crc] nabank_parts.dff CRC = 0x906C1AF4
[00:35:09] [artwork:crc] nabank.txd CRC = 0xC2B36C16
[00:35:09] [artwork:crc] ig_bigbuild0786.dff CRC = 0x156868A1
[00:35:09] [artwork:crc] txd2.txd CRC = 0x6F200BEF
[00:35:09] [artwork:crc] ig_c-block_bld03.dff CRC = 0x8CE115
[00:35:09] [artwork:crc] txd1.txd CRC = 0x67A66C35
[00:35:09] [artwork:crc] ig_c-block_bld02.dff CRC = 0x429C513B
[00:35:09] [artwork:crc] txd1.txd CRC = 0x67A66C35
[00:35:09] [artwork:crc] ig_c-block_alpha1.dff CRC = 0xD8AEDCAC
[00:35:09] [artwork:crc] txd1.txd CRC = 0x67A66C35
[00:35:09] [artwork:crc] ig_c-block_bld01.dff CRC = 0x82FBF9C9
[00:35:09] [artwork:crc] txd1.txd CRC = 0x67A66C35
[00:35:09] [artwork:crc] ws_bl.dff CRC = 0xD6261B23
[00:35:10] [artwork:crc] grnd.txd CRC = 0x6DD8ECE3
[00:35:10] [artwork:crc] was_chem_pla.dff CRC = 0x25C31113
[00:35:10] [artwork:crc] chem.txd CRC = 0xD22A0CAA
[00:35:10] [artwork:crc] was_chem_plb.dff CRC = 0xEEC2D6BC
[00:35:10] [artwork:crc] chem.txd CRC = 0xD22A0CAA
[00:35:10] [artwork:crc] tree.dff CRC = 0x1D8C9475
[00:35:11] [artwork:crc] fo3_stuff.txd CRC = 0x5C93D80B
[00:35:11] [artwork:crc] was_bb_1.dff CRC = 0xEBA2F849
[00:35:11] [artwork:crc] bb_s.txd CRC = 0xAF3D801F
[00:35:11] [artwork:crc] was_bb_2.dff CRC = 0xD1D39E4E
[00:35:11] [artwork:crc] bb_s.txd CRC = 0xAF3D801F
[00:35:11] [artwork:crc] was_AZ_app.dff CRC = 0x1FF8E156
[00:35:11] [artwork:crc] AZ_app.txd CRC = 0x104EDFCE
[00:35:11] [artwork:crc] grass_waste.dff CRC = 0x561987E4
[00:35:11] [artwork:crc] graz.txd CRC = 0x48B6F950
[00:35:11] [artwork:crc] was_fnc01.dff CRC = 0x62B70882
[00:35:11] [artwork:crc] was_fnc.txd CRC = 0xEB95B24E
[00:35:11] [artwork:crc] appart_clear.dff CRC = 0xB252AD1F
[00:35:11] [artwork:crc] appartment.txd CRC = 0x96F5A93E
[00:35:11] [artwork:crc] appart_crc.dff CRC = 0xB01CEFAB
[00:35:11] [artwork:crc] appartment.txd CRC = 0x96F5A93E
[00:35:11] [artwork:crc] indust_bld_02.dff CRC = 0x6ABBEC1B
[00:35:11] [artwork:crc] builds_gen.txd CRC = 0x74E164A2
[00:35:11] [artwork:crc] indust_bld_01.dff CRC = 0xD5C7B0
[00:35:11] [artwork:crc] builds_gen.txd CRC = 0x74E164A2
[00:35:11] [artwork:crc] live_bld_crs.dff CRC = 0x20639D29
[00:35:12] [artwork:crc] clowns_bld.txd CRC = 0x9336C3D4
[00:35:12] [artwork:crc] china_build_005.dff CRC = 0xFD0C43B6
[00:35:12] [artwork:crc] china_town.txd CRC = 0x7DE9EFEE
[00:35:12] [artwork:crc] china_build_002.dff CRC = 0xE03F5785
[00:35:12] [artwork:crc] china_town.txd CRC = 0x7DE9EFEE
[00:35:12] [artwork:crc] china_build_003.dff CRC = 0x27D86FD
[00:35:12] [artwork:crc] china_town.txd CRC = 0x7DE9EFEE
[00:35:12] [artwork:crc] china_mainten.dff CRC = 0xF5C09A1D
[00:35:12] [artwork:crc] china_town.txd CRC = 0x7DE9EFEE
[00:35:12] [artwork:crc] m_tawi_2.dff CRC = 0xF6DF6287
[00:35:12] [artwork:crc] m_tawi.txd CRC = 0xD4AFD802
[00:35:12] [artwork:crc] m_tawi_4.dff CRC = 0xFEA6284C
[00:35:12] [artwork:crc] m_tawi.txd CRC = 0xD4AFD802
[00:35:12] [artwork:crc] m_tawi_1.dff CRC = 0x6C8BD05C
[00:35:12] [artwork:crc] m_tawi.txd CRC = 0xD4AFD802
[00:35:12] [artwork:crc] m_tawi_3.dff CRC = 0xA5B01E6
[00:35:12] [artwork:crc] m_tawi.txd CRC = 0xD4AFD802
[00:35:13] [artwork:crc] china_maintenr.dff CRC = 0x2AE7644A
[00:35:13] [artwork:crc] china_town.txd CRC = 0x7DE9EFEE
[00:35:13] [artwork:crc] china_fish.dff CRC = 0x849D6CD4
[00:35:13] [artwork:crc] chi_warehouse.txd CRC = 0xC07140A0
[00:35:13] [artwork:crc] china_build_004.dff CRC = 0x5A7841EA
[00:35:13] [artwork:crc] china_town.txd CRC = 0x7DE9EFEE
[00:35:13] [artwork:crc] ind_pinbld_end01.dff CRC = 0x14AC261C
[00:35:13] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:13] [artwork:crc] ind_pinbld_end02.dff CRC = 0x67FCEB90
[00:35:13] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:13] [artwork:crc] ind_pinbld_win.dff CRC = 0xDC82A28E
[00:35:13] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:13] [artwork:crc] ind_pinbld_mid.dff CRC = 0x5B56932A
[00:35:13] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:13] [artwork:crc] ind_pinbld_ent.dff CRC = 0xC7C8532A
[00:35:13] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:13] [artwork:crc] ind_hot_ent.dff CRC = 0xED5B380A
[00:35:13] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:13] [artwork:crc] ind_hot_mid01.dff CRC = 0x7C6A4192
[00:35:13] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:13] [artwork:crc] ind_hot_crn01.dff CRC = 0x2F199113
[00:35:14] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:14] [artwork:crc] ind_hot_mid03.dff CRC = 0xBF5EE79
[00:35:14] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:14] [artwork:crc] ind_hot_mid02.dff CRC = 0x9FC684C1
[00:35:14] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
[00:35:14] [artwork:crc] ind_hot_crn02.dff CRC = 0x8770FC1D
[00:35:14] [artwork:crc] builds_2.txd CRC = 0x35F5FA4
